Genotype_ID	Pheno
BESC-269	North
BESC-274	North
BESC-275	North
BESC-276	North
BESC-277	North
BESC-335	North
BESC-337	North
BESC-345	North
BESC-347	North
BESC-352	North
BESC-359	North
BESC-360	North
BESC-361	North
BESC-362	North
BESC-364	North
BESC-368	North
BESC-369	North
BESC-375	North
BESC-376	North
BESC-377	North
BESC-378	North
BESC-381	North
BESC-385	North
BESC-386	North
BESC-387	North
BESC-388	North
BESC-389	North
BESC-391	North
BESC-393	North
BESC-394	North
BESC-395	North
BESC-396	North
BESC-397	North
BESC-399	North
BESC-404	North
BESC-416	North
BESC-417	North
BESC-430	North
BESC-432	North
BESC-437	North
BESC-440	North
BESC-444	North
BESC-448	North
BESC-450	North
BESC-453	North
BESC-454	North
BESC-455	North
BESC-457	North
BESC-463	North
BESC-466	North
BESC-467	North
BESC-469	North
BESC-470	North
BESC-852	North
BESC-856	North
BESC-863	North
BESC-865	North
BESC-101	South
BESC-107	South
BESC-108	South
BESC-109	South
BESC-113	South
BESC-117	South
BESC-120	South
BESC-123	South
BESC-124	South
BESC-125	South
BESC-128	South
BESC-129	South
BESC-13	South
BESC-130	South
BESC-133	South
BESC-134	South
BESC-135	South
BESC-138	South
BESC-140	South
BESC-18	South
BESC-19	South
BESC-21	South
BESC-22	South
BESC-24	South
BESC-25	South
BESC-26	South
BESC-27	South
BESC-30	South
BESC-37	South
BESC-38	South
BESC-39	South
BESC-40	South
BESC-41	South
BESC-42	South
BESC-45	South
BESC-47	South
BESC-51	South
BESC-52	South
BESC-56	South
BESC-60	South
BESC-61	South
BESC-62	South
BESC-67	South
